    rho                  mu
0.0015643994119181048 -0.04676014027405717
0.0235830983764104 -0.1399367366551898
0.054167170524627384 -0.27976527644299587
0.08841720712062667 -0.41949834840664124
0.10676612292437027 -0.4971455120575854
0.13734255764665443 -0.6057242507366922
0.16791517365597208 -0.6986780888614508
0.19970977781455057 -0.7916001043781549
0.2388324921557271 -0.8687062836921857
0.27550359277244924 -0.9146263071136254
0.29872518632137013 -0.9296465781149568
0.32316876801955186 -0.9446350265082337
0.3500486885903221 -0.9283100285767016
0.3964727821233317 -0.8802260678076124
0.4416596126552148 -0.7696743274291791
0.4782848887163397 -0.6280955441984197
0.5148948899255987 -0.4240171587502619
0.5417251672278055 -0.20456845361218345
0.5746462917114836 0.09316386733791227
0.5990173178633028 0.37504852947728207
0.6209443677166007 0.6568695464005456
0.6392054531221161 0.9385950954996467
0.6586770705379931 1.2672271688698515
0.6757161677942479 1.5489208953609
0.6915218207623425 1.8774575009069432
0.7109743446133874 2.2842140770488975
0.7206929691129768 2.5188421662285743
0.7291896054633056 2.7534384328001975
0.7437694515691731 3.097568116292538
0.7510479184832074 3.3165076597017578
0.7619694375672255 3.6292920742612376
0.7789550728419501 4.129734408513183
0.7910833052233632 4.505050247898115
0.7959330706907417 4.661426543873829
