        r                 g(r)
0.9053097583917941 0.09677895709469198
0.9266080362185743 0.284216474484988
0.938333714070804 0.45684809909743507
0.9450616873413035 0.6146665537919591
0.9551308969960147 0.8025949473581164
0.9639660801097921 1.0198522000946943
0.9723958015604889 1.2594994486819941
0.9795657692073664 1.4732905775496652
0.9871521326040503 1.6881453265948847
0.997224962452182 1.883839035047713
1.0064567864531933 2.059785727742694
1.016510982412349 2.2155097443423006
1.0332360003651648 2.406462726816395
1.0665458561000984 2.4876822256175695
1.0997508247913292 2.3439190156763523
1.120473914526448 2.189683339611305
1.1411897271214935 2.019838198088787
1.1619028934837847 1.8443168873090066
1.182619588156415 1.6763638022055758
1.2033428984109298 1.5226011402453006
1.2261482057910942 1.3741959970148303
1.2531130550309415 1.226955511223815
1.2863145953297135 1.0758383994574725
1.3278401907396624 0.9377142380084962
1.3735351174157922 0.8217530109386595
1.419250191545844 0.7490080725320687
1.4649800003810038 0.7078690765806877
1.5107165250341374 0.6811355101837218
1.5564642761292578 0.6784826618478688
1.6022200461115106 0.6930303264128099
1.6479811286064896 0.7189733307745279
1.693753537779545 0.7692120596086172
1.7395290542713635 0.8261159871917645
1.785311186345067 0.8972103379180676
1.8310940200713954 0.9698097335231903
1.876879760644309 1.048644315054851
1.9226601887044974 1.116083556789735
1.9684335000023543 1.168257343325164
2.0141965872191165 1.1985004759120805
2.05994995153523 1.2078879866067833
2.1056906861041087 1.1901846894827348
2.1514231010775866 1.1546358602241118
2.1971483992887335 1.1038215757660343
2.2428752010412176 1.056232387476855
2.2886020027937026 1.0086431991876763
2.3343299071431676 0.9634190814223564
2.380064427074518 0.9323853868001923
2.4258026557411676 0.9093069293946456
2.471543490546135 0.891818638681857
2.508972591323648 0.8877661222357798
